ສະບາຍດີ,ສະບາຍດີ ມີຫຍັງໃຫ້ຊ່ວຍບໍ
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີຂອງປີ 4 ພາກຮຽນ 1ຮຽນວິຊາຫຍັງແດ່,"ລາຍວິຊາຮຽນຂອງປີ 4 ພາກຮຽນ 1 ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີແມ່ນມີ ປັນຍາປະດິດ, ສະຖາປັດຕະຍະກຳຊອບແວ, ລະບົບຂ່າວສານເພື່ອການບໍລິຫານ, ສຳມະນາ2, ບໍລິຫານເຄື່ອງແມ່ຂ່າຍດ້ວຍ Linux, ການບໍລິຫານໂຄງການ, ບໍລິຫານການສຶກສາ ແລະ ການເມືອງ"
ຂໍເບິ່ງວິຊາຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີຂອງປີ 4 ພາກຮຽນ 2,ລາຍວິຊາຮຽນຂອງປີ 4 ພາກຮຽນ 2 ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີແມ່ນມີ ເຝິກງານ ແລະ ໂຄງການຈົບຊັ້ນ/ສອບເສັງ
ຂໍເບິ່ງວິຊາຮຽນສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີຂອງປີ 4 ພາກຮຽນ 2,ລາຍວິຊາຮຽນຂອງປີ 4 ພາກຮຽນ 2 ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີແມ່ນມີ ເຝິກງານ ແລະ ໂຄງການຈົບຊັ້ນ/ສອບເສັງ
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີຂອງປີ 4 ພາກຮຽນ 2ຮຽນວິຊາຫຍັງແດ່,ລາຍວິຊາຮຽນຂອງປີ 4 ພາກຮຽນ 2 ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີແມ່ນມີ ເຝິກງານ ແລະ ໂຄງການຈົບຊັ້ນ/ສອບເສັງ
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີຂອງປີ 4 ພາກຮຽນ 2ຮຽນວິຊາຫຍັງແດ່,ລາຍວິຊາຮຽນຂອງປີ 4 ພາກຮຽນ 2 ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີແມ່ນມີ ເຝິກງານ ແລະ ໂຄງການຈົບຊັ້ນ/ສອບເສັງ
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີໄດ້ຮຽນເລກບໍ,ອີງຕາມແຜນການຈັດຕັ້ງການຮຽນ-ການສອນ ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ຄະນິດສາດຖືວ່າເປັນໝວດວິຊາພື້ນຖານວິຊາສະເພາະ ສະນັ້ນ ໃນສາຂາວິທະຍາສາດຄອມພິວເຕີຈຶ່ງມີການຮຽນ-ການສອນວິຊາຄະນິດສາດ
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີໄດ້ຮຽນເລກບໍ,ອີງຕາມແຜນການຈັດຕັ້ງການຮຽນ-ການສອນ ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ຄະນິດສາດຖືວ່າເປັນໝວດວິຊາພື້ນຖານວິຊາສະເພາະ ສະນັ້ນ ໃນສາຂາວິທະຍາສາດຄອມພິວເຕີຈຶ່ງມີການຮຽນ-ການສອນວິຊາຄະນິດສາດ
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີໄດ້ຮຽນພາສາໂປຣແກຣມບໍ,"ໂດຍ, ໃນສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີແມ່ນໄດ້ຮຽນພາສາໂປຣແກຣມຕ່າງໆເຊັ່ນ: C, Java, C# ແລະ VB.NET ເປັນຕົ້ນ"
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີໄດ້ຮຽນພາສາໂປຣແກຣມບໍ,"ໂດຍ, ໃນສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີແມ່ນໄດ້ຮຽນພາສາໂປຣແກຣມຕ່າງໆເຊັ່ນ: C, Java, C# ແລະ VB.NET ເປັນຕົ້ນ"
ຄ່າຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີເທົ່າໃດ,"ຄ່າຮຽນສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ຫຼັກສູດປະລິນຍາຕີ ແມ່ນຈະແຕກຕ່າງກັນຕາມແຕ່ລະປີຮຽນ ເຊິ່ງຈະລວມທັງໝົດທັງ 4 ປີແມ່ນເປັນຈຳນວນເງິນ 6,245,000 ກີບ"
ຄ່າຮຽນສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີເທົ່າໃດ,"ຄ່າຮຽນສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ຫຼັກສູດປະລິນຍາຕີ ແມ່ນຈະແຕກຕ່າງກັນຕາມແຕ່ລະປີຮຽນ ເຊິ່ງຈະລວມທັງໝົດທັງ 4 ປີແມ່ນເປັນຈຳນວນເງິນ 6,245,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີຄ່າຮຽນເທົ່າໃດ,"ຄ່າຮຽນສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ຫຼັກສູດປະລິນຍາຕີ ແມ່ນຈະແຕກຕ່າງກັນຕາມແຕ່ລະປີຮຽນ ເຊິ່ງຈະລວມທັງໝົດທັງ 4 ປີແມ່ນເປັນຈຳນວນເງິນ 6,245,000 ກີບ"
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີຄ່າຮຽນເທົ່າໃດ,"ຄ່າຮຽນສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ຫຼັກສູດປະລິນຍາຕີ ແມ່ນຈະແຕກຕ່າງກັນຕາມແຕ່ລະປີຮຽນ ເຊິ່ງຈະລວມທັງໝົດທັງ 4 ປີແມ່ນເປັນຈຳນວນເງິນ 6,245,000 ກີບ"
ຄ່າຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 1 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 1 ໂດຍລວມແມ່ນ 1,570,000 ກີບ"
ຄ່າຮຽນສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 1 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 1 ໂດຍລວມແມ່ນ 1,570,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 1 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 1 ໂດຍລວມແມ່ນ 1,570,000 ກີບ"
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 1 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 1 ໂດຍລວມແມ່ນ 1,570,000 ກີບ"
ຄ່າຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 2 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 2 ໂດຍລວມແມ່ນ 1,640,000 ກີບ"
ຄ່າຮຽນສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 2 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 2 ໂດຍລວມແມ່ນ 1,640,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 2 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 2 ໂດຍລວມແມ່ນ 1,640,000 ກີບ"
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 2 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 2 ໂດຍລວມແມ່ນ 1,640,000 ກີບ"
ຄ່າຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 3 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 3 ໂດຍລວມແມ່ນ 1,675,000 ກີບ"
ຄ່າຮຽນສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 3 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 3 ໂດຍລວມແມ່ນ 1,675,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 3 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 3 ໂດຍລວມແມ່ນ 1,675,000 ກີບ"
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 3 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 3 ໂດຍລວມແມ່ນ 1,675,000 ກີບ"
ຄ່າຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 4 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 4 ໂດຍລວມແມ່ນ 1,360,000 ກີບ"
ຄ່າຮຽນສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 4 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 4 ໂດຍລວມແມ່ນ 1,360,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 4 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 4 ໂດຍລວມແມ່ນ 1,360,000 ກີບ"
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 4 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາການພັດທະນາເວັບໄຊປີ 4 ໂດຍລວມແມ່ນ 1,360,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 1 ມີຈັກໜ່ວຍກິດ,ມີ 36 ໜ່ວຍກິດ ພາກຮຽນ 1 ມີ 17 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 19 ໜ່ວຍກິດ
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 1 ມີຈັກໜ່ວຍກິດ,ມີ 36 ໜ່ວຍກິດ ພາກຮຽນ 1 ມີ 17 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 19 ໜ່ວຍກິດ
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 2 ມີຈັກໜ່ວຍກິດ,ມີ 38 ໜ່ວຍກິດ ພາກຮຽນ 1 ມີ 18 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 20 ໜ່ວຍກິດ
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 2 ມີຈັກໜ່ວຍກິດ,ມີ 38 ໜ່ວຍກິດ ພາກຮຽນ 1 ມີ 18 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 20 ໜ່ວຍກິດ
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 3 ມີຈັກໜ່ວຍກິດ,ມີ 39 ໜ່ວຍກິດ ພາກຮຽນ 1 ມີ 20 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 19 ໜ່ວຍກິດ
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 3 ມີຈັກໜ່ວຍກິດ,ມີ 39 ໜ່ວຍກິດ ພາກຮຽນ 1 ມີ 20 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 19 ໜ່ວຍກິດ
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 4 ມີຈັກໜ່ວຍກິດ,ມີ 30 ໜ່ວຍກິດ ພາກຮຽນ 1 ມີ 21 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 9 ໜ່ວຍກິດ
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 4 ມີຈັກໜ່ວຍກິດ,ມີ 30 ໜ່ວຍກິດ ພາກຮຽນ 1 ມີ 21 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 9 ໜ່ວຍກິດ
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີເສຍຄ່າທຳນຽມຫຍັງແນ່,"ໃນສ່ວນນີ້ແມ່ນຈະຄືກັນໝົດຄ່າຮຽນຈະຕ່າງກັນແມ່ນຂຶ້ນຢູ່ກັບຄ່າໜ່ວຍກິດ ເຊິ່ງລາຍລະອຽດໃນການເສຍຄ່າຮຽນທັງໝົດແມ່ນມີຄ່າລົງທະບຽນ 210,000 ກີບ, ຄ່າໜ່ວຍກິດ 35,000 ກີບ ຕໍ່ໜ່ວຍກິດ, ຄ່າບັດຫໍສະໝຸດ 30,000 ກີບ ແລະ ຄ່າບູລະນະຫ້ອງທົດລອງຄອມພິວເຕີ 70,000 ກີບ"
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີເສຍຄ່າທຳນຽມຫຍັງແນ່,"ໃນສ່ວນນີ້ແມ່ນຈະຄືກັນໝົດຄ່າຮຽນຈະຕ່າງກັນແມ່ນຂຶ້ນຢູ່ກັບຄ່າໜ່ວຍກິດ ເຊິ່ງລາຍລະອຽດໃນການເສຍຄ່າຮຽນທັງໝົດແມ່ນມີຄ່າລົງທະບຽນ 210,000 ກີບ, ຄ່າໜ່ວຍກິດ 35,000 ກີບ ຕໍ່ໜ່ວຍກິດ, ຄ່າບັດຫໍສະໝຸດ 30,000 ກີບ ແລະ ຄ່າບູລະນະຫ້ອງທົດລອງຄອມພິວເຕີ 70,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ປະກອບມີຈຳນວນໜ່ວຍກິດແຕກຕ່າງກັນໃນແຕ່ລະປີ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ຫຼັກສູດປະລິນຍາຕີ ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ປະກອບມີຈຳນວນໜ່ວຍກິດແຕກຕ່າງກັນໃນແຕ່ລະປີ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 1 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ຫຼັກສູດປະລິນຍາຕີ ປີ 1 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 36 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 1 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ຫຼັກສູດປະລິນຍາຕີ ປີ 1 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 36 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 2 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ຫຼັກສູດປະລິນຍາຕີ ປີ 2 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 38 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 2 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ຫຼັກສູດປະລິນຍາຕີ ປີ 2 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 38 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 3 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ຫຼັກສູດປະລິນຍາຕີ ປີ 3 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 39 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 3 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ຫຼັກສູດປະລິນຍາຕີ ປີ 3 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 39 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ຫຼັກສູດປະລິນຍາຕີສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 4 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ຫຼັກສູດປະລິນຍາຕີ ປີ 4 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 30 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປີ 4 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ຫຼັກສູດປະລິນຍາຕີ ປີ 4 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 30 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີມີຫຼັກສູດນາໆຊາດບໍ,ປັດຈຸບັນພາກວິຊາວິທະຍາສາດຄອມພິວເຕີຍັງບໍ່ທັນມີຫຼັກສູດນາໆຊາດເທື່ອ
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີມີຫຼັກສູດນາໆຊາດບໍ,ປັດຈຸບັນພາກວິຊາວິທະຍາສາດຄອມພິວເຕີຍັງບໍ່ທັນມີຫຼັກສູດນາໆຊາດເທື່ອ
ຊື່ຫຼັກສູດພາສາລາວຂອງຫຼັກສູດປະລິນຍາໂທສາຂາວິທະຍາສາດຄອມພິວເຕີແມ່ນຫຍັງ,ຫຼັກສູດປະລິນຍາໂທວິທະຍາສາດ ສາຂາ ວິທະຍາສາດຄອມພິວເຕີ
ຊື່ຫຼັກສູດພາສາອັງກິດຂອງຫຼັກສູດປະລິນຍາໂທສາຂາວິທະຍາສາດຄອມພິວເຕີແມ່ນຫຍັງ,Master of Science Program in Computer Science
ຊື່ຫຼັກສູດພາສາລາວຂອງປະລິນຍາໂທແມ່ນຫຍັງ,ຫຼັກສູດປະລິນຍາໂທວິທະຍາສາດ ສາຂາ ວິທະຍາສາດຄອມພິວເຕີ
ຊື່ຫຼັກສູດພາສາອັງກິດຂອງປະລິນຍາໂທແມ່ນຫຍັງ,Master of Science Program in Computer Science
ຂໍຊ່ອງທາງການຕິດຕໍ່ໜ່ວຍງານຮັບຜິດຊອບຫຼັກສູດປະລິນຍາໂທແດ່,"ຊ່ອງທາງການຕິດຕໍ່ໜ່ວຍງານຮັບຜິດຊອບຫຼັກສູດປະລິນຍາໂທແມ່ນ ໂທລະສັບ: 020 55720450, 020 55682978, 020 23232378, 020 22245128 ໂທລະສານ: 021 770 173 ອີເມວ: s.thommaly@nuol.edu.la, somsacki@nuol.edu.la, l.chidtavong@nuol.edu.la"
ຂໍເບີໂທຕິດຕໍ່ໜ່ວຍງານຮັບຜິດຊອບຫຼັກສູດປະລິນຍາໂທແດ່,"ເບີໂທຕິດຕໍ່ໜ່ວຍງານຮັບຜິດຊອບຫຼັກສູດປະລິນຍາໂທແມ່ນ ໂທລະສັບ: 020 55720450, 020 55682978, 020 23232378, 020 22245128"
ຂໍອີເມວຕິດຕໍ່ໜ່ວຍງານຮັບຜິດຊອບຫຼັກສູດປະລິນຍາໂທແດ່,"ອີເມວຕິດຕໍ່ໜ່ວຍງານຮັບຜິດຊອບຫຼັກສູດປະລິນຍາໂທແມ່ນ ອີເມວ: s.thommaly@nuol.edu.la, somsacki@nuol.edu.la, l.chidtavong@nuol.edu.la"
ພາຍຫຼັງຮຽນຈົບຫຼັກສູດປະລິນຍາໂທສາຂາວິທະຍາສາດຄອມພິວເຕີແລ້ວສາມາດເຮັດວຽກຫຍັງໄດ້ແດ່,"ຜູ້ຮຽນຈົບຫຼັກສູດປະລິນຍາໂທ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ສາມາດປະກອບອາຊີບໄດ້ດັ່ງນີ້: ເປັນນັກວິທະຍາສາດຄອມພິວເຕີ, ນັກວິທະຍາສາດຂໍ້ມູນ - ປັນຍາປະດິດ, ນັກວິເຄາະ - ອອກແບບລະບົບເຕັກໂນໂລຊີດິຈິຕອນ ແລະ ນັກພັດທະນາຊອບແວ, ປະກອບອາຊີບເປັນຂອງຕົນເອງ (Startup), ເປັນທີ່ປຶກສາ, ເປັນນັກຄົ້ນຄວ້າທາງດ້ານເຕັກໂນໂລຊີດິຈິຕອນ ແລະ ນະວັດຕະກຳ"
ພາຍຫຼັງຮຽນຈົບຫຼັກສູດປະລິນຍາໂທແລ້ວສາມາດເຮັດວຽກຫຍັງໄດ້ແດ່,"ຜູ້ຮຽນຈົບຫຼັກສູດປະລິນຍາໂທ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ສາມາດປະກອບອາຊີບໄດ້ດັ່ງນີ້: ເປັນນັກວິທະຍາສາດຄອມພິວເຕີ, ນັກວິທະຍາສາດຂໍ້ມູນ - ປັນຍາປະດິດ, ນັກວິເຄາະ - ອອກແບບລະບົບເຕັກໂນໂລຊີດິຈິຕອນ ແລະ ນັກພັດທະນາຊອບແວ, ປະກອບອາຊີບເປັນຂອງຕົນເອງ (Startup), ເປັນທີ່ປຶກສາ, ເປັນນັກຄົ້ນຄວ້າທາງດ້ານເຕັກໂນໂລຊີດິຈິຕອນ ແລະ ນະວັດຕະກຳ"
ຖ້າຈະເຂົ້າຮຽນຫຼັກສູດປະລິນຍາໂທສາຂາວິທະຍາສາດຄອມພິວເຕີຕ້ອງມີເງື່ອນໄຂໃດແດ່,"ຜູ້ທີ່ຈະເຂົ້າສຶກສາໃນຫຼັກສູດປະລິນຍາໂທ ສາຂາວິທະຍາສາດຄອມພິວເຕີຕ້ອງແມ່ນຜູ້ສຳເລັດການຮຽນລະດັບປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ຫຼື ຕາມການພິຈາລະນາ ແລະ ເຫັນດີຈາກຄະນະຮັບຜິດຊອບຫຼັກສູດ, ນັກສຶກສາທີ່ຮຽນຈົບໃໝ່ຕ້ອງມີຄະແນນສະເລ່ຍສະສົມລວມ (CGPA) 2.50 ຂຶ້ນໄປ, ຖ້າຕ່ຳກວ່ານີ້ແມ່ນຕ້ອງໄດ້ຜ່ານການເຮັດວຽກທີ່ກ່ຽວກັບວິຊາສະເພາະທີ່ຮຽນມາຢ່າງໜ້ອຍ 2 ປີ, ມີຄວາມຮູ້ດ້ານພາສາອັງກິດ ສາມາດອ່ານ, ເວົ້າ ແລະ ຂຽນໄດ້ ດ້ວຍການທົດສອບຕາມເງື່ອນໄຂຂອງຄະນະຮັບຜິດຊອບຫຼັກສູດ"
ຖ້າຈະເຂົ້າຮຽນຫຼັກສູດປະລິນຍາໂທຕ້ອງມີເງື່ອນໄຂໃດແດ່,"ຜູ້ທີ່ຈະເຂົ້າສຶກສາໃນຫຼັກສູດປະລິນຍາໂທ ສາຂາວິທະຍາສາດຄອມພິວເຕີຕ້ອງແມ່ນຜູ້ສຳເລັດການຮຽນລະດັບປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ຫຼື ຕາມການພິຈາລະນາ ແລະ ເຫັນດີຈາກຄະນະຮັບຜິດຊອບຫຼັກສູດ, ນັກສຶກສາທີ່ຮຽນຈົບໃໝ່ຕ້ອງມີຄະແນນສະເລ່ຍສະສົມລວມ (CGPA) 2.50 ຂຶ້ນໄປ, ຖ້າຕ່ຳກວ່ານີ້ແມ່ນຕ້ອງໄດ້ຜ່ານການເຮັດວຽກທີ່ກ່ຽວກັບວິຊາສະເພາະທີ່ຮຽນມາຢ່າງໜ້ອຍ 2 ປີ, ມີຄວາມຮູ້ດ້ານພາສາອັງກິດ ສາມາດອ່ານ, ເວົ້າ ແລະ ຂຽນໄດ້ ດ້ວຍການທົດສອບຕາມເງື່ອນໄຂຂອງຄະນະຮັບຜິດຊອບຫຼັກສູດ"
